Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
16/11/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.09028,nip,FALSE,1.69,40.69952305
12/07/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , P3HT ,Blank,Blank,Blank,Au,0.03,nip-mp,FALSE,1.6,35.73327661
11/06/2017,SLG ,FTO ," TiO2-(c, np, nw) ", PCBSD:GD ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.6,42.55319149
27/06/2019 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) "," SnO2; SnO2-(c, np, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.19,nip,FALSE,1.61,214.4680851
14/07/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.59,2.127659574
14/07/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.59,2.127659574
28/07/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Triazine-Ph-OMeTPA ,Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,53.23679727
22/01/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.0625,nip,FALSE,1.6,76.84098186
25/03/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,Blank,Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,461.3905799
07/08/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,2,nip-mp,TRUE,1.6,1.711229947
08/05/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", Al2O3-mp ,Blank, Perovskite , CuSCN ,Blank,Blank,Blank,Au,0.0625,nip,FALSE,1.6,232.2580645
19/07/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.175,nip-mp,FALSE,1.6,309.6774194
18/07/2017 00:00,SLG ,FTO , ZnO,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.6,53.80393845
11/11/2018,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.1,nip-mp,FALSE,1.5,52.17391304
15/01/2020 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , TPA-BPFN-TPA ,Blank,Blank,Blank,Ag,0.1,nip-mp,FALSE,1.6,21.73913043
11/08/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.48,15.65217391
14/07/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.59,2.173913043
07/08/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,2,nip,TRUE,1.48,6.578947368
25/08/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0919,pin,FALSE,1.25,2.197802198
21/03/2013 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.096,nip-mp,FALSE,1.72,87.91208791
01/08/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", ZrO2-mp ," TiO2-(c, mp )", Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.08,nip-mp-carbon,FALSE,1.6,10.54945055
21/03/2013 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.096,nip-mp,FALSE,1.674,88.39779006
08/05/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , OMeTPA-TPA ,Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,121.6007075
03/11/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.09,nip,FALSE,1.6,37.16814159
17/08/2015 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,221.9755827
14/10/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip,FALSE,1.6,122.2086435
18/11/2014 00:00,SLG ,ITO ,Blank,Blank,Blank, Perovskite , P3HT ,Blank,Blank,Blank,Ag,0.072,nip,FALSE,1.6,320
